,rateCode,price,Location,Instance Family,vCPU,Instance Type,Memory,Storage,Network Performance,plc:OperatingSystem,plc:InstanceFamily,Operating System,Pre Installed S/W,License Model
277,VRGEJRAPUVFERPF4.JRTCKXETXF.6YS6EN2CT7,2.064,US East (Ohio),Compute optimized,48,c5ad.12xlarge,96.0,2 x 900 NVMe SSD,12 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
278,VU6WDT5USNCYBZEU.JRTCKXETXF.6YS6EN2CT7,0.3712,US East (Ohio),General purpose,8,t2.2xlarge,32.0,EBS only,Moderate,Linux,General Purpose,Linux,NA,No License required
279,VWC546ENDWKDXT2T.JRTCKXETXF.6YS6EN2CT7,0.226,US East (Ohio),General purpose,4,m5d.xlarge,16.0,1 x 150 NVMe SSD,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
280,VX6Z38JUR65B3HGT.JRTCKXETXF.6YS6EN2CT7,6.68304,US East (Ohio),General purpose,96,m6in.24xlarge,384.0,EBS only,150000 Megabit,Linux,General Purpose,Linux,NA,No License required
281,U2W6CYWCQQ6UZQ65.JRTCKXETXF.6YS6EN2CT7,0.298,US East (Ohio),Memory optimized,4,r5n.xlarge,32.0,EBS only,Up to 25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
282,V2VPYCJZ8GJ23VKP.JRTCKXETXF.6YS6EN2CT7,32.7726,US East (Ohio),GPU instance,96,p4d.24xlarge,1152.0,8 x 1000 SSD,400 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
283,V7N8YPWWSY33BMDU.JRTCKXETXF.6YS6EN2CT7,0.768,US East (Ohio),General purpose,16,m5.4xlarge,64.0,EBS only,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
284,V8UQSCFD4MRKTGJK.JRTCKXETXF.6YS6EN2CT7,2.3123,US East (Ohio),Compute optimized,64,c7g.metal,128.0,EBS only,30 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
285,VA2B5JZB8WHEURXY.JRTCKXETXF.6YS6EN2CT7,0.54117,US East (Ohio),GPU instance,8,g4ad.2xlarge,32.0,300 GB NVMe SSD,Up to 10 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
286,VEVCBWPER9F5N296.JRTCKXETXF.6YS6EN2CT7,1.944,US East (Ohio),Compute optimized,36,c5n.9xlarge,96.0,EBS only,50 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
287,VFKY8MVR6SMC2UK2.JRTCKXETXF.6YS6EN2CT7,1.336,US East (Ohio),Memory optimized,16,x2gd.4xlarge,256.0,1 x 950 SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
288,W2G7XT2W83MU44PY.JRTCKXETXF.6YS6EN2CT7,3.672,US East (Ohio),Compute optimized,96,c6a.24xlarge,192.0,EBS only,37500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
289,W3UG35SJHY4KRPFX.JRTCKXETXF.6YS6EN2CT7,4.032,US East (Ohio),Memory optimized,64,r6i.16xlarge,512.0,EBS only,25000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
