,rateCode,price,Location,Instance Family,vCPU,Instance Type,Memory,Storage,Network Performance,plc:OperatingSystem,plc:InstanceFamily,Operating System,Pre Installed S/W,License Model
360,MNT8E9UPH9UED9CH.JRTCKXETXF.6YS6EN2CT7,0.991,US East (Ohio),General purpose,12,m5zn.3xlarge,48.0,EBS only,Up to 25 Gigabit,Linux,General Purpose,Linux,NA,No License required
361,MPBWY927RQ87FVVX.JRTCKXETXF.6YS6EN2CT7,2.4192,US East (Ohio),Memory optimized,32,r6id.8xlarge,256.0,1 x 1900 SSD,12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
362,MDSBS66AS4N5QZPV.JRTCKXETXF.6YS6EN2CT7,0.9,US East (Ohio),GPU instance,4,p2.xlarge,61.0,EBS only,High,Linux,Accelerated Computing,Linux,NA,No License required
363,MDZF8EAX36PHXWD9.JRTCKXETXF.6YS6EN2CT7,6.4512,US East (Ohio),Compute optimized,128,c6id.32xlarge,256.0,4 x 1900 SSD,50000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
364,M3HKXCNKPGCZDMCG.JRTCKXETXF.6YS6EN2CT7,24.48,US East (Ohio),GPU instance,64,p3.16xlarge,488.0,EBS only,25 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
365,MCKTRZX5CWUZ595Q.JRTCKXETXF.6YS6EN2CT7,8.2944,US East (Ohio),General purpose,192,m6a.48xlarge,768.0,EBS only,50000 Megabit,Linux,General Purpose,Linux,NA,No License required
366,MD5WDRNPRHM2XAGC.JRTCKXETXF.6YS6EN2CT7,0.398,US East (Ohio),Compute optimized,8,c4.2xlarge,15.0,EBS only,High,Linux,Compute Optimized,Linux,NA,No License required
367,M9KYZQ9AUQJN8Q23.JRTCKXETXF.6YS6EN2CT7,0.468,US East (Ohio),Storage optimized,8,h1.2xlarge,32.0,1 x 2000 HDD,Up to 10 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
368,KZ96VHDQYH98S9EA.JRTCKXETXF.6YS6EN2CT7,3.12624,US East (Ohio),Memory optimized,32,r6idn.8xlarge,256.0,1 x 1900 SSD,50000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
369,KY4J4EE2VE67BY8T.JRTCKXETXF.6YS6EN2CT7,9.37872,US East (Ohio),Memory optimized,96,r6idn.24xlarge,768.0,4 x 1425 SSD,150000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
370,JVT8Z9JR8H2KTMEY.JRTCKXETXF.6YS6EN2CT7,1.591,US East (Ohio),Compute optimized,36,c4.8xlarge,60.0,EBS only,10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
371,JNWAM59Z9WKF38K9.JRTCKXETXF.6YS6EN2CT7,1.904,US East (Ohio),General purpose,32,m5n.8xlarge,128.0,EBS only,25 Gigabit,Linux,General Purpose,Linux,NA,No License required
372,JNDV9943X8PU79JA.JRTCKXETXF.6YS6EN2CT7,2.712,US East (Ohio),Memory optimized,48,r5a.12xlarge,384.0,EBS only,10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
373,JNBD8ZZ5JSFMNNYR.JRTCKXETXF.6YS6EN2CT7,0.0058,US East (Ohio),General purpose,1,t2.nano,0.5,EBS only,Low,Linux,General Purpose,Linux,NA,No License required
374,KJX2YS3Q6PB6HQVS.JRTCKXETXF.6YS6EN2CT7,5.344,US East (Ohio),Memory optimized,64,r5dn.16xlarge,512.0,4 x 600 NVMe SSD,75 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
375,M7RS3WVJAZWABDS9.JRTCKXETXF.6YS6EN2CT7,0.476,US East (Ohio),General purpose,8,m5n.2xlarge,32.0,EBS only,Up to 25 Gigabit,Linux,General Purpose,Linux,NA,No License required
376,S9P8MT7D8KG5ZA9B.JRTCKXETXF.6YS6EN2CT7,4.08,US East (Ohio),Compute optimized,96,c5.metal,192.0,EBS only,25 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
377,SAAY6F3PMZQGTKU3.JRTCKXETXF.6YS6EN2CT7,6.048,US East (Ohio),Memory optimized,96,r5.metal,768.0,EBS only,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
378,SBZ8KRV7W8QGA6U6.JRTCKXETXF.6YS6EN2CT7,5.7,US East (Ohio),Compute optimized,64,hpc6id.32xlarge,1024.0,4 x 3800 NVMe SSD,200 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
379,SCBUFWU4SS9QAGAM.JRTCKXETXF.6YS6EN2CT7,3.81888,US East (Ohio),General purpose,48,m6idn.12xlarge,192.0,2 x 1425 SSD,75000 Megabit,Linux,General Purpose,Linux,NA,No License required
380,SDQK54UK2HRQTUXV.JRTCKXETXF.6YS6EN2CT7,0.904,US East (Ohio),Memory optimized,16,r5a.4xlarge,128.0,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
381,SEMV77DSB4WM675R.JRTCKXETXF.6YS6EN2CT7,0.0052,US East (Ohio),General purpose,2,t3.nano,0.5,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
382,SF5DE6CG3JJC4T33.JRTCKXETXF.6YS6EN2CT7,13.344,US East (Ohio),Memory optimized,64,x1e.16xlarge,1952.0,1 x 1920 SSD,10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
383,SGFUDXSZXY8TA5AX.JRTCKXETXF.6YS6EN2CT7,0.0094,US East (Ohio),General purpose,2,t3a.micro,1.0,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
384,SH77K56M7WN6767K.JRTCKXETXF.6YS6EN2CT7,4.352,US East (Ohio),General purpose,64,m5dn.16xlarge,256.0,4 x 600 NVMe SSD,75 Gigabit,Linux,General Purpose,Linux,NA,No License required
385,SJ8W88EE5U3YBGYN.JRTCKXETXF.6YS6EN2CT7,0.864,US East (Ohio),Compute optimized,16,c5n.4xlarge,42.0,EBS only,Up to 25 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
386,SJUJPCXYUW9YDY2S.JRTCKXETXF.6YS6EN2CT7,0.15912,US East (Ohio),General purpose,2,m6idn.large,8.0,1 x 118 SSD,Up to 25000 Megabit,Linux,General Purpose,Linux,NA,No License required
387,SK6UUHZGC5WZB29B.JRTCKXETXF.6YS6EN2CT7,0.298,US East (Ohio),Memory optimized,4,r5b.xlarge,32.0,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
388,SKZA4VVNM258G9TZ.JRTCKXETXF.6YS6EN2CT7,3.2256,US East (Ohio),Compute optimized,64,c6id.16xlarge,128.0,2 x 1900 SSD,25000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
389,S89PRF6W86HYCKPG.JRTCKXETXF.6YS6EN2CT7,4.608,US East (Ohio),Memory optimized,64,r5d.16xlarge,512.0,4 x 600 NVMe SSD,20 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
390,S7XG88DG882ZUEMP.JRTCKXETXF.6YS6EN2CT7,1.3824,US East (Ohio),General purpose,32,m6a.8xlarge,128.0,EBS only,12500 Megabit,Linux,General Purpose,Linux,NA,No License required
391,S932RC7TT4XJT6CM.JRTCKXETXF.6YS6EN2CT7,4.128,US East (Ohio),Compute optimized,96,c5ad.24xlarge,192.0,2 x 1900 NVMe SSD,20 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
392,SMRNWAVNJKJSN96J.JRTCKXETXF.6YS6EN2CT7,3.808,US East (Ohio),General purpose,64,m5n.16xlarge,256.0,EBS only,75 Gigabit,Linux,General Purpose,Linux,NA,No License required
393,RVVZ6EKZ8BST5GMT.JRTCKXETXF.6YS6EN2CT7,0.688,US East (Ohio),Compute optimized,16,c5ad.4xlarge,32.0,2 x 300 NVMe SSD,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
394,RRENKNMKHKB4WTDN.JRTCKXETXF.6YS6EN2CT7,3.9641,US East (Ohio),General purpose,48,m5zn.metal,192.0,EBS only,100 Gigabit,Linux,General Purpose,Linux,NA,No License required
395,RTV6WVNZSVEKJ6VQ.JRTCKXETXF.6YS6EN2CT7,2.3123,US East (Ohio),Compute optimized,64,c7g.16xlarge,128.0,EBS only,30 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
396,RWY5P9FB6JQYYM78.JRTCKXETXF.6YS6EN2CT7,2.128,US East (Ohio),Memory optimized,32,r4.8xlarge,244.0,EBS only,10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
397,RXHS8BSAF6EAJ6R8.JRTCKXETXF.6YS6EN2CT7,1.224,US East (Ohio),Compute optimized,32,c6a.8xlarge,64.0,EBS only,12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
398,RXYEZ3QXT2GWNMRK.JRTCKXETXF.6YS6EN2CT7,1.064,US East (Ohio),Memory optimized,16,r4.4xlarge,122.0,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
399,RZXF5TTVXK9N84JG.JRTCKXETXF.6YS6EN2CT7,0.1071,US East (Ohio),Memory optimized,2,r7g.large,16.0,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
400,S3ECPXKCM3R5MT3P.JRTCKXETXF.6YS6EN2CT7,1.8984,US East (Ohio),General purpose,32,m6id.8xlarge,128.0,1 x 1900 SSD,12500 Megabit,Linux,General Purpose,Linux,NA,No License required
401,R99FC88U7735H9RR.JRTCKXETXF.6YS6EN2CT7,0.199,US East (Ohio),Compute optimized,4,c4.xlarge,7.5,EBS only,High,Linux,Compute Optimized,Linux,NA,No License required
402,RCCUWCKFHYJW8JPF.JRTCKXETXF.6YS6EN2CT7,0.3024,US East (Ohio),Memory optimized,4,r6id.xlarge,32.0,1 x 237 SSD,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
403,RCFYPHT7DPK2JUTD.JRTCKXETXF.6YS6EN2CT7,10.9824,US East (Ohio),Storage optimized,128,i4i.32xlarge,1024.0,8 x 3750 SSD,75000 Megabit,Linux,Storage Optimized,Linux,NA,No License required
404,RCTATTNMU4FRBNZ2.JRTCKXETXF.6YS6EN2CT7,13.338,US East (Ohio),Memory optimized,128,x2idn.metal,2048.0,2 x 1900 NVMe SSD,100 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
405,REKPRX9EC64HXMW7.JRTCKXETXF.6YS6EN2CT7,7.344,US East (Ohio),Compute optimized,192,c6a.48xlarge,384.0,EBS only,50000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
406,RFW72CZF94FBVT5H.JRTCKXETXF.6YS6EN2CT7,0.0864,US East (Ohio),Compute optimized,2,c6gn.large,4.0,EBS only,Up to 25 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
407,RGU9HRNUAS2TX83W.JRTCKXETXF.6YS6EN2CT7,0.796,US East (Ohio),Compute optimized,16,c4.4xlarge,30.0,EBS only,High,Linux,Compute Optimized,Linux,NA,No License required
408,RHW8EAZNVJA4KSWC.JRTCKXETXF.6YS6EN2CT7,0.4,US East (Ohio),General purpose,8,m4.2xlarge,32.0,EBS only,High,Linux,General Purpose,Linux,NA,No License required
409,RMEXS26VXNREG46P.JRTCKXETXF.6YS6EN2CT7,4.608,US East (Ohio),Compute optimized,96,c5d.metal,192.0,4 x 900 NVMe SSD,25 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
410,RQ5MTXDCVMC97PG6.JRTCKXETXF.6YS6EN2CT7,2.016,US East (Ohio),Memory optimized,32,r5.8xlarge,256.0,EBS only,10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
411,QTD83ZUBGATX8ZGE.JRTCKXETXF.6YS6EN2CT7,0.154,US East (Ohio),Compute optimized,4,c5a.xlarge,8.0,EBS only,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
412,QTZ3A8UPGDGVVKEN.JRTCKXETXF.6YS6EN2CT7,0.4536,US East (Ohio),Memory optimized,8,r6a.2xlarge,64.0,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
413,QVDGKAHRZKNRS5BV.JRTCKXETXF.6YS6EN2CT7,0.192,US East (Ohio),General purpose,4,m5.xlarge,16.0,EBS only,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
414,QXZ6UKW26NAJPS5F.JRTCKXETXF.6YS6EN2CT7,0.2373,US East (Ohio),General purpose,4,m6id.xlarge,16.0,1 x 237 SSD,Up to 12500 Megabit,Linux,General Purpose,Linux,NA,No License required
415,QY7KUA5NSVSEM69M.JRTCKXETXF.6YS6EN2CT7,2.464,US East (Ohio),General purpose,64,m6g.metal,256.0,EBS only,25 Gigabit,Linux,General Purpose,Linux,NA,No License required
416,QYNBDYVRFN9DWHZR.JRTCKXETXF.6YS6EN2CT7,3.264,US East (Ohio),General purpose,48,m5dn.12xlarge,192.0,2 x 900 GB NVMe SSD,50 Gigabit,Linux,General Purpose,Linux,NA,No License required
417,QYPUNNNDFUB78S9D.JRTCKXETXF.6YS6EN2CT7,0.7232,US East (Ohio),General purpose,16,m6gd.4xlarge,64.0,1 x 950 NVMe SSD,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
418,QZ9RTRDR6FSDSDTU.JRTCKXETXF.6YS6EN2CT7,0.288,US East (Ohio),Memory optimized,4,r5d.xlarge,32.0,1 x 150 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
419,QZN43S5CUE94W75G.JRTCKXETXF.6YS6EN2CT7,0.172,US East (Ohio),General purpose,4,m5a.xlarge,16.0,EBS only,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
420,R3VHSB87F9T6FGA9.JRTCKXETXF.6YS6EN2CT7,1.808,US East (Ohio),General purpose,32,m5d.8xlarge,128.0,2 x 600 NVMe SSD,10 Gigabit,Linux,General Purpose,Linux,NA,No License required
421,R4CKBWU7M6GSC7QB.JRTCKXETXF.6YS6EN2CT7,0.532,US East (Ohio),Memory optimized,8,r4.2xlarge,61.0,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
422,R4WCHYMB84366KD7.JRTCKXETXF.6YS6EN2CT7,0.952,US East (Ohio),General purpose,16,m5n.4xlarge,64.0,EBS only,Up to 25 Gigabit,Linux,General Purpose,Linux,NA,No License required
423,R6GPP3DAS3SFJQEQ.JRTCKXETXF.6YS6EN2CT7,5.424,US East (Ohio),Memory optimized,96,r5a.24xlarge,768.0,EBS only,20 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
424,SRW9NUWV4DEUS28K.JRTCKXETXF.6YS6EN2CT7,0.2016,US East (Ohio),Memory optimized,4,r6g.xlarge,32.0,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
425,STQD2F27P6T7GHEB.JRTCKXETXF.6YS6EN2CT7,3.7968,US East (Ohio),General purpose,64,m6id.16xlarge,256.0,2 x 1900 SSD,25000 Megabit,Linux,General Purpose,Linux,NA,No License required
426,SVQWW9JRCF3MPR9R.JRTCKXETXF.6YS6EN2CT7,0.103,US East (Ohio),General purpose,2,m5ad.large,8.0,1 x 75 NVMe SSD,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
427,SWW7X4E26NRCGRTZ.JRTCKXETXF.6YS6EN2CT7,0.867,US East (Ohio),GPU instance,16,g4ad.4xlarge,64.0,600 GB NVMe SSD,Up to 10 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
428,SY85B5JBVMYGADC5.JRTCKXETXF.6YS6EN2CT7,0.308,US East (Ohio),Compute optimized,8,c5a.2xlarge,16.0,EBS only,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
429,T4SWW95MZ82F64W8.JRTCKXETXF.6YS6EN2CT7,7.2576,US East (Ohio),Memory optimized,96,r6id.24xlarge,768.0,4 x 1425 SSD,37500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
430,T54WSMXQE5PWCK2Y.JRTCKXETXF.6YS6EN2CT7,6.288,US East (Ohio),Memory optimized,96,r5ad.24xlarge,768.0,4 x 900 NVMe SSD,20 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
431,T69XD9BXQWFTCUWQ.JRTCKXETXF.6YS6EN2CT7,1.998,US East (Ohio),Storage optimized,16,d3.4xlarge,128.0,12 x 2000 HDD,Up to 15 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
432,T6Z5ZM3V7QRTXCC5.JRTCKXETXF.6YS6EN2CT7,0.077,US East (Ohio),General purpose,2,m6g.large,8.0,EBS only,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
433,T74XMWDFWAHEZK2U.JRTCKXETXF.6YS6EN2CT7,2.72,US East (Ohio),Compute optimized,64,c6i.16xlarge,128.0,EBS only,25000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
434,TBJ68UBKCQVE986J.JRTCKXETXF.6YS6EN2CT7,7.152,US East (Ohio),Memory optimized,96,r5b.24xlarge,768.0,EBS only,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
435,TBV6C3VKSXKFHHSC.JRTCKXETXF.6YS6EN2CT7,0.1504,US East (Ohio),General purpose,4,t3a.xlarge,16.0,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
436,TEVGVY2M4SJF9D6A.JRTCKXETXF.6YS6EN2CT7,1.152,US East (Ohio),Memory optimized,16,r5d.4xlarge,128.0,2 x 300 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
437,TN5Z98KXNVSUU7Q7.JRTCKXETXF.6YS6EN2CT7,1.9584,US East (Ohio),General purpose,48,m7g.12xlarge,192.0,EBS only,22500 Megabit,Linux,General Purpose,Linux,NA,No License required
438,WTADZ55ETP6ZEN73.JRTCKXETXF.6YS6EN2CT7,4.992,US East (Ohio),Storage optimized,64,i3.16xlarge,488.0,8 x 1900 NVMe SSD,20 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
439,WTHRW5EZ8T22UFYZ.JRTCKXETXF.6YS6EN2CT7,0.0047,US East (Ohio),General purpose,2,t3a.nano,0.5,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
440,WVKZPG8TTUFUW7DA.JRTCKXETXF.6YS6EN2CT7,1.8144,US East (Ohio),Memory optimized,32,r6a.8xlarge,256.0,EBS only,12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
441,WVXZUY6M42J6G8U5.JRTCKXETXF.6YS6EN2CT7,2.384,US East (Ohio),Memory optimized,32,r5n.8xlarge,256.0,EBS only,25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
442,WXTX9CDNRB93XCCA.JRTCKXETXF.6YS6EN2CT7,3.144,US East (Ohio),Memory optimized,48,r5ad.12xlarge,384.0,2 x 900 NVMe SSD,10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
443,X2YKNUZQ3HQMQ9RS.JRTCKXETXF.6YS6EN2CT7,0.3616,US East (Ohio),General purpose,8,m6gd.2xlarge,32.0,1 x 475 NVMe SSD,Up to 10 Gigabit,Linux,General Purpose,Linux,NA,No License required
444,X3A6RZ2SXBTHS2X7.JRTCKXETXF.6YS6EN2CT7,2.8928,US East (Ohio),General purpose,64,m6gd.metal,256.0,2 x 1900 NVMe SSD,25 Gigabit,Linux,General Purpose,Linux,NA,No License required
445,X4YTEF3PVAPZB6SB.JRTCKXETXF.6YS6EN2CT7,3.912,US East (Ohio),GPU instance,48,g4dn.12xlarge,192.0,900 GB NVMe SSD,50 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
446,Y5AJYNC7MEUPH7AT.JRTCKXETXF.6YS6EN2CT7,6.25248,US East (Ohio),Memory optimized,64,r6idn.16xlarge,512.0,2 x 1900 SSD,100000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
447,Y6WNUUFEJZ2F8Q3U.JRTCKXETXF.6YS6EN2CT7,3.616,US East (Ohio),Memory optimized,64,r5a.16xlarge,512.0,EBS only,12 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
448,Y73QEJPSBYNQCFQA.JRTCKXETXF.6YS6EN2CT7,0.576,US East (Ohio),Memory optimized,8,r5d.2xlarge,64.0,1 x 300 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
449,YM2XN39USBQN9AZ5.JRTCKXETXF.6YS6EN2CT7,0.0168,US East (Ohio),General purpose,2,t4g.small,2.0,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
450,YM4ZZ947QVJE9Y38.JRTCKXETXF.6YS6EN2CT7,2.8476,US East (Ohio),General purpose,48,m6id.12xlarge,192.0,2 x 1425 SSD,18750 Megabit,Linux,General Purpose,Linux,NA,No License required
451,XKNQ264P5N9AYCD2.JRTCKXETXF.6YS6EN2CT7,0.0188,US East (Ohio),General purpose,2,t3a.small,2.0,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
452,XT8JF7STDEQ5U974.JRTCKXETXF.6YS6EN2CT7,0.167,US East (Ohio),Memory optimized,2,r5dn.large,16.0,1 x 75 NVMe SSD,Up to 25 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
453,XU6ESG4N9JZ3NRHU.JRTCKXETXF.6YS6EN2CT7,0.334,US East (Ohio),Memory optimized,4,x2gd.xlarge,64.0,1 x 237 SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
454,XX8FRUYWYE53X9B4.JRTCKXETXF.6YS6EN2CT7,0.1344,US East (Ohio),General purpose,4,t4g.xlarge,16.0,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
455,XYSECN3PWZ9HYPN2.JRTCKXETXF.6YS6EN2CT7,0.668,US East (Ohio),Memory optimized,8,x2gd.2xlarge,128.0,1 x 474 SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
456,XZRBC9MJZPZWHBW8.JRTCKXETXF.6YS6EN2CT7,0.306,US East (Ohio),Compute optimized,8,c6a.2xlarge,16.0,EBS only,Up to 12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
457,Y2SG8292X4XGQ53C.JRTCKXETXF.6YS6EN2CT7,1.6128,US East (Ohio),Compute optimized,32,c6id.8xlarge,64.0,1 x 1900 SSD,12500 Megabit,Linux,Compute Optimized,Linux,NA,No License required
458,Y3SUYSYH3DS2J5JK.JRTCKXETXF.6YS6EN2CT7,2.472,US East (Ohio),General purpose,48,m5ad.12xlarge,192.0,2 x 900 NVMe SSD,10 Gigabit,Linux,General Purpose,Linux,NA,No License required
459,XBRVYNQEYQU6T3AV.JRTCKXETXF.6YS6EN2CT7,0.131,US East (Ohio),Memory optimized,2,r5ad.large,16.0,1 x 75 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
460,XGCN87X3G48M3BYR.JRTCKXETXF.6YS6EN2CT7,0.136,US East (Ohio),Compute optimized,4,c6g.xlarge,8.0,EBS only,Up to 10 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
461,XJ8D2R4439973G9C.JRTCKXETXF.6YS6EN2CT7,3.6288,US East (Ohio),Compute optimized,64,c6in.16xlarge,128.0,EBS only,100000 Megabit,Linux,Compute Optimized,Linux,NA,No License required
462,YNYQ6X5V79PKWGEB.JRTCKXETXF.6YS6EN2CT7,1.008,US East (Ohio),Memory optimized,16,r5.4xlarge,128.0,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
463,YPWTWTN28G5CJN8S.JRTCKXETXF.6YS6EN2CT7,0.4608,US East (Ohio),Memory optimized,8,r6gd.2xlarge,64.0,1 x 475 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
464,YQ4YBPGFTJTMW8AW.JRTCKXETXF.6YS6EN2CT7,1.668,US East (Ohio),Memory optimized,8,x1e.2xlarge,244.0,1 x 240 SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
465,YQZKQQ43X7CBE4ZD.JRTCKXETXF.6YS6EN2CT7,0.133,US East (Ohio),Memory optimized,2,r4.large,15.25,EBS only,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
466,YR3MEJZD3USM8NC3.JRTCKXETXF.6YS6EN2CT7,0.0416,US East (Ohio),General purpose,2,t3.medium,4.0,EBS only,Up to 5 Gigabit,Linux,General Purpose,Linux,NA,No License required
467,YXSUKA5AV8JBQ3P4.JRTCKXETXF.6YS6EN2CT7,0.372,US East (Ohio),Memory optimized,4,z1d.xlarge,32.0,1 x 150 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
468,YY6TCF5SAJX2C3TN.JRTCKXETXF.6YS6EN2CT7,6.669,US East (Ohio),Memory optimized,64,x2idn.16xlarge,1024.0,1 x 1900 NVMe SSD,50 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
469,YZ4SN358MYPRUZVF.JRTCKXETXF.6YS6EN2CT7,1.848,US East (Ohio),General purpose,48,m6g.12xlarge,192.0,EBS only,12 Gigabit,Linux,General Purpose,Linux,NA,No License required
470,YZGT6U4DWJDJQA7S.JRTCKXETXF.6YS6EN2CT7,1.3824,US East (Ohio),Compute optimized,32,c6gn.8xlarge,64.0,EBS only,50 Gigabit,Linux,Compute Optimized,Linux,NA,No License required
471,Z5UNB5QXNF5PAQNN.JRTCKXETXF.6YS6EN2CT7,0.2142,US East (Ohio),Memory optimized,4,r7g.xlarge,32.0,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
472,Z85PFK26R5HVYF6M.JRTCKXETXF.6YS6EN2CT7,1.373,US East (Ohio),Storage optimized,16,i4i.4xlarge,128.0,1 x 3750 NVMe SSD,Up to 25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
473,ZDDYX9E844C9PPSA.JRTCKXETXF.6YS6EN2CT7,2.28,US East (Ohio),GPU instance,32,g3.8xlarge,244.0,EBS only,10 Gigabit,Linux,Accelerated Computing,Linux,NA,No License required
474,ZEXGDPPAXSUWGPME.JRTCKXETXF.6YS6EN2CT7,0.1134,US East (Ohio),Memory optimized,2,r6a.large,16.0,EBS only,Up to 12500 Megabit,Linux,Memory Optimized,Linux,NA,No License required
475,ZEY3ZAM8JQWK5TPE.JRTCKXETXF.6YS6EN2CT7,0.36379,US East (Ohio),Storage optimized,4,im4gn.xlarge,16.0,1 x 1875 SSD,Up to 25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
476,ZGCQQP8V273MUU9V.JRTCKXETXF.6YS6EN2CT7,10.8864,US East (Ohio),Memory optimized,192,r6a.metal,1536.0,EBS only,50000 Megabit,Linux,Memory Optimized,Linux,NA,No License required
477,ZHZFRTJV7DCA47JT.JRTCKXETXF.6YS6EN2CT7,0.13923,US East (Ohio),General purpose,2,m6in.large,8.0,EBS only,Up to 25000 Megabit,Linux,General Purpose,Linux,NA,No License required
478,ZKHJ2D3943PCPQJ5.JRTCKXETXF.6YS6EN2CT7,46.40391,US East (Ohio),Memory optimized,224,u-6tb1.56xlarge,6144.0,EBS only,100 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
479,ZMUUYVBE4X9YWP8X.JRTCKXETXF.6YS6EN2CT7,2.712,US East (Ohio),Storage optimized,24,i3en.6xlarge,192.0,2 x 7500 NVMe SSD,25 Gigabit,Linux,Storage Optimized,Linux,NA,No License required
480,ZR3RQCJWRETJ5NVH.JRTCKXETXF.6YS6EN2CT7,0.9216,US East (Ohio),Memory optimized,16,r6gd.4xlarge,128.0,1 x 950 NVMe SSD,Up to 10 Gigabit,Linux,Memory Optimized,Linux,NA,No License required
481,ZSKQTY7PTSUK5FGB.JRTCKXETXF.6YS6EN2CT7,0.55692,US East (Ohio),General purpose,8,m6in.2xlarge,32.0,EBS only,Up to 40000 Megabit,Linux,General Purpose,Linux,NA,No License required
