,series,nameLocKey,instanceName,cores,category,ram,tier,hasPayGo,isInPreview,diskSize,type,hasSpot,isVcpu,isConstrainedCore,isBaseVm,activeCores,productId,nvMeDisk,gpu,fpga,pmem
521,hbv3,hb120-32rs-v3,HB120-32rs v3,120,highperformancecompute,448.0,standard,True,False,2100.0,linux,True,False,True,True,32.0,,,,,
522,hbv2,hb120-64rs-v2,HB120-64rs v2,120,highperformancecompute,456.0,standard,True,False,900.0,linux,True,False,True,True,64.0,,,,,
523,hbv3,hb120-64rs-v3,HB120-64rs v3,120,highperformancecompute,448.0,standard,True,False,2100.0,linux,True,False,True,True,64.0,,,,,
524,hbv2,hb120-96rs-v2,HB120-96rs v2,120,highperformancecompute,456.0,standard,True,False,900.0,linux,True,False,True,True,96.0,,,,,
525,hbv3,hb120-96rs-v3,HB120-96rs v3,120,highperformancecompute,448.0,standard,True,False,2100.0,linux,True,False,True,True,96.0,,,,,
526,hbv2,hb120rsv2,HB120rs v2,120,highperformancecompute,456.0,standard,True,False,480.0,linux,True,False,False,True,,,,,,
527,hbv3,hb120rsv3,HB120rs v3,120,highperformancecompute,448.0,standard,True,False,2100.0,linux,True,False,False,True,,,,,,
528,hb,hb60-15rs,HB60-15rs,60,highperformancecompute,228.0,standard,True,False,700.0,linux,True,False,True,True,15.0,,,,,
529,hb,hb60-30rs,HB60-30rs,60,highperformancecompute,228.0,standard,True,False,700.0,linux,True,False,True,True,30.0,,,,,
530,hb,hb60-45rs,HB60-45rs,60,highperformancecompute,228.0,standard,True,False,700.0,linux,True,False,True,True,45.0,,,,,
531,hb,hb60rs,HB60rs,60,highperformancecompute,228.0,standard,True,False,700.0,linux,True,False,False,True,,,,,,
532,hc,hc44-16rs,HC44-16rs,44,highperformancecompute,352.0,standard,True,False,700.0,linux,True,False,True,True,16.0,,,,,
533,hc,hc44-32rs,HC44-32rs,44,highperformancecompute,352.0,standard,True,False,700.0,linux,True,False,True,True,32.0,,,,,
534,hc,hc44rs,HC44rs,44,highperformancecompute,352.0,standard,True,False,700.0,linux,True,False,False,True,,,,,,
535,lasv3,l16asv3,L16as v3,16,storageoptimized,128.0,standard,True,False,160.0,linux,True,True,False,True,,,2 x 1.9 TB,,,
536,ls,l16s,L16s,16,storageoptimized,128.0,standard,True,False,2807.0,linux,True,True,False,True,,,,,,
537,lsv2,l16sv2,L16s v2,16,storageoptimized,128.0,standard,True,False,160.0,linux,True,True,False,True,,,2 x 1.9 TB,,,
538,lsv3,l16sv3,L16s v3,16,storageoptimized,128.0,standard,True,False,160.0,linux,True,True,False,True,,,2 x 1.9 TB,,,
539,lasv3,l32asv3,L32as v3,32,storageoptimized,256.0,standard,True,False,320.0,linux,True,True,False,True,,,4 x 1.9 TB,,,
540,ls,l32s,L32s,32,storageoptimized,256.0,standard,True,False,5630.0,linux,True,True,False,True,,,,,,
541,lsv2,l32sv2,L32s v2,32,storageoptimized,256.0,standard,True,False,320.0,linux,True,True,False,True,,,4 x 1.9 TB,,,
542,lsv3,l32sv3,L32s v3,32,storageoptimized,256.0,standard,True,False,320.0,linux,True,True,False,True,,,4 x 1.9 TB,,,
543,lasv3,l48asv3,L48as v3,48,storageoptimized,384.0,standard,True,False,480.0,linux,True,True,False,True,,,6 x 1.9 TB,,,
544,lsv2,l48sv2,L48s v2,48,storageoptimized,384.0,standard,True,False,480.0,linux,True,True,False,True,,,6 x 1.9 TB,,,
545,lsv3,l48sv3,L48s v3,48,storageoptimized,384.0,standard,True,False,480.0,linux,True,True,False,True,,,6 x 1.9 TB,,,
546,ls,l4s,L4s,4,storageoptimized,32.0,standard,True,False,678.0,linux,True,True,False,True,,,,,,
547,lasv3,l64asv3,L64as v3,64,storageoptimized,512.0,standard,True,False,640.0,linux,True,True,False,True,,,8 x 1.9 TB,,,
548,lsv2,l64sv2,L64s v2,64,storageoptimized,512.0,standard,True,False,640.0,linux,True,True,False,True,,,8 x 1.9 TB,,,
549,lsv3,l64sv3,L64s v3,64,storageoptimized,512.0,standard,True,False,640.0,linux,True,True,False,True,,,8 x 1.9 TB,,,
550,lasv3,l80asv3,L80as v3,80,storageoptimized,640.0,standard,True,False,800.0,linux,True,True,False,True,,,10 x 1.9 TB,,,
551,lsv2,l80sv2,L80s v2,80,storageoptimized,640.0,standard,True,False,800.0,linux,True,True,False,True,,,10 x 1.9 TB,,,
552,lsv3,l80sv3,L80s v3,80,storageoptimized,640.0,standard,True,False,800.0,linux,True,True,False,True,,,10 x 1.9 TB,,,
553,lasv3,l8asv3,L8as v3,8,storageoptimized,64.0,standard,True,False,80.0,linux,True,True,False,True,,,1 x 1.9 TB,,,
554,ls,l8s,L8s,8,storageoptimized,64.0,standard,True,False,1388.0,linux,True,True,False,True,,,,,,
555,lsv2,l8sv2,L8s v2,8,storageoptimized,64.0,standard,True,False,80.0,linux,True,True,False,True,,,1 x 1.9 TB,,,
556,lsv3,l8sv3,L8s v3,8,storageoptimized,64.0,standard,True,False,80.0,linux,True,True,False,True,,,1 x 1.9 TB,,,
557,m,m128-32ms,M128-32ms,128,memoryoptimized,3800.0,standard,True,False,4096.0,linux,True,True,True,True,32.0,,,,,
558,m,m128-64ms,M128-64ms,128,memoryoptimized,3800.0,standard,True,False,4096.0,linux,True,True,True,True,64.0,,,,,
559,mdsv2,m128dmsv2,M128dms v2,128,memoryoptimized,3892.0,standard,True,False,4096.0,linux,True,True,False,True,,,,,,
560,mdsv2,m128dsv2,M128ds v2,128,memoryoptimized,2048.0,standard,True,False,4096.0,linux,True,True,False,True,,,,,,
561,m,m128ms,M128ms,128,memoryoptimized,3800.0,standard,True,False,4096.0,linux,True,True,False,True,,,,,,
562,m,m128m,M128m,128,memoryoptimized,3800.0,standard,True,False,14336.0,linux,True,True,False,True,,,,,,
563,msv2,m128msv2,M128ms v2,128,memoryoptimized,3892.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
564,m,m128s,M128s,128,memoryoptimized,2000.0,standard,True,False,4096.0,linux,True,True,False,True,,,,,,
565,m,m128,M128,128,memoryoptimized,2000.0,standard,True,False,14336.0,linux,True,True,False,True,,,,,,
566,msv2,m128sv2,M128s v2,128,memoryoptimized,2048.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
