,currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,instanceName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,effectiveEndDate
1028,USD,0.0,0.115,0.115,southcentralus,US South Central,2023-02-01T00:00:00Z,426c9ffb-bd66-5588-aea5-6e0e6ef512ae,D2lds v5,DZH318Z08M9B,DZH318Z08M9B/00HZ,,Virtual Machines Dldsv5 Series,D2lds v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D2lds_v5,
1030,USD,0.0,3.891,3.891,southcentralus,US South Central,2020-11-01T00:00:00Z,4271d2c9-493f-5082-a0e9-dd826b1f2978,E32-16as_v4,DZH318Z0CM92,DZH318Z0CM92/00V7,,Virtual Machines Easv4 Series Windows,E32-16as_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E32-16as_v4,
1032,USD,0.0,0.749,0.749,southcentralus,US South Central,2020-06-01T00:00:00Z,428d0963-cffd-51ea-8e50-5bcdc4acb421,E8ds v4,DZH318Z0CSHK,DZH318Z0CSHK/010B,,Virtual Machines Edsv4 Series,E8ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8ds_v4,
1036,USD,0.0,35.231,35.231,southcentralus,US South Central,2021-03-01T00:00:00Z,42c8853d-ee6f-53c2-80e8-54a6cca07acb,Mdsmv2MedMem Type1,DZH318Z08VHS,DZH318Z08VHS/001S,,MdSv2 Series Dedicated Host,Mdsmv2MedMem Type1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Mdsmv2MedMem _Type1,
1039,USD,0.0,0.243,0.243,southcentralus,US South Central,2020-06-01T00:00:00Z,42fd6765-bbc6-5a2b-a1e9-420d9284ed80,E2a v4/E2as v4,DZH318Z0CM95,DZH318Z0CM95/0097,,Virtual Machines Eav4 Series Windows,E2a v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E2a_v4,
1040,USD,0.0,0.243,0.243,southcentralus,US South Central,2020-06-01T00:00:00Z,42fd6765-bbc6-5a2b-a1e9-420d9284ed80,E2as v4,DZH318Z0CM92,DZH318Z0CM92/007S,,Virtual Machines Easv4 Series Windows,E2as v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E2as_v4,
1047,USD,0.0,0.749,0.749,southcentralus,US South Central,2020-06-01T00:00:00Z,4368cbdf-446d-559e-a741-a3500850d848,E8-2ds v4,DZH318Z0CSHK,DZH318Z0CSHK/00ZQ,,Virtual Machines Edsv4 Series,E8-2ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8-2ds_v4,
1048,USD,0.0,7.75,7.75,southcentralus,US South Central,2021-01-01T00:00:00Z,43849ea7-6908-5ff6-b80d-37f31b092305,M64s_v2,DZH318Z0BX5L,DZH318Z0BX5L/03LT,,Virtual Machines MSv2 Series,M64s_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_M64s_v2,
1049,USD,0.0,7.143,7.143,southcentralus,US South Central,2019-01-01T00:00:00Z,43a5cac2-7d1a-42cb-b6b4-6e4d8b341467,E64i v3/E64is v3,DZH318Z0BPWH,DZH318Z0BPWH/00HN,,Virtual Machines Ev3 Series Windows,E64i v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64i_v3,
1050,USD,0.0,7.143,7.143,southcentralus,US South Central,2019-01-01T00:00:00Z,43a5cac2-7d1a-42cb-b6b4-6e4d8b341467,E64is v3,DZH318Z0BPVN,DZH318Z0BPVN/00J3,,Virtual Machines ESv3 Series Windows,E64is v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E64is_v3,
1051,USD,0.0,4.972,4.972,southcentralus,US South Central,2020-01-13T00:00:00Z,43b02820-a1eb-5e9c-b2db-95987d493c1c,Esv3 Type2,DZH318Z0C620,DZH318Z0C620/006J,,ESv3 Series Dedicated Host,Esv3 Type2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Esv3_Type2,
1052,USD,0.0,0.829,0.829,southcentralus,US South Central,2023-02-01T00:00:00Z,43bbf7ed-cc14-5944-b309-c4ba95ce78f6,D8lds v5,DZH318Z08M99,DZH318Z08M99/00D5,,Virtual Machines Dldsv5 Series Windows,D8lds v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D8lds_v5,
1060,USD,0.0,2.515,2.515,southcentralus,US South Central,2021-11-01T00:00:00Z,4424e1a7-05f8-59ee-874b-de4aecfb0754,E32-16ads v5,DZH318Z093X0,DZH318Z093X0/009C,,Virtual Machines Eadsv5 Series,E32-16ads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E32-16ads_v5,
