,currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,instanceName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,effectiveEndDate
0,USD,0.0,4.838,4.838,southcentralus,US South Central,2020-08-01T00:00:00Z,0016083a-928f-56fd-8eeb-39287dcf676d,E64 v4,DZH318Z0D1L7,DZH318Z0D1L7/0058,,Virtual Machines Ev4 Series,E64 v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64_v4,
5,USD,0.0,9.357,9.357,southcentralus,US South Central,2022-04-01T00:00:00Z,00be1135-9b33-524d-80dd-58863f7db170,E64bds v5,DZH318Z09LQN,DZH318Z09LQN/0013,,Virtual Machines Ebdsv5 Series Windows,Standard_E64bds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64bds_v5,
10,USD,0.0,0.302,0.302,southcentralus,US South Central,2020-08-01T00:00:00Z,011a3d6d-c056-5644-944d-8508968fa782,E4s v4,DZH318Z0CSHL,DZH318Z0CSHL/00XQ,,Virtual Machines Esv4 Series,E4s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E4s_v4,
12,USD,0.0,1.356,1.356,southcentralus,US South Central,2021-11-01T00:00:00Z,01250768-e0a3-59aa-b4b2-5d48491edc81,E20as v5,DZH318Z093WZ,DZH318Z093WZ/00C8,,Virtual Machines Easv5 Series,E20as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E20as_v5,
19,USD,0.0,2.949,2.949,southcentralus,US South Central,2022-09-01T00:00:00Z,018edf2b-60be-5538-8ee3-6c13003501ab,D64plds v5,DZH318Z092QL,DZH318Z092QL/006P,,Virtual Machines Dpldsv5 Series,Standard_D64plds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D64plds_v5,
21,USD,0.0,1.32,1.32,southcentralus,US South Central,2022-06-01T00:00:00Z,01cdc93f-6ec0-5514-a262-7be77a5fd052,NC8ads_A10_v4,DZH318Z0BCGZ,DZH318Z0BCGZ/002V,,Virtual Machines NCadsA10v4 Series,Standard_NC8ads_A10_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC8ads_A10_v4,
22,USD,0.0,4.656,4.656,southcentralus,US South Central,2019-06-01T00:00:00Z,01d601bc-0504-4572-abcb-894ae65c70bb,F48s v2,DZH318Z0BPWJ,DZH318Z0BPWJ/00MH,,Virtual Machines FSv2 Series Windows,F48s v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_F48s_v2,
26,USD,0.0,0.09,0.09,southcentralus,US South Central,2014-03-29T00:00:00Z,02124380-8638-4b50-a284-bc93cc236d93,A1,DZH318Z0BPVJ,DZH318Z0BPVJ/0011,,Virtual Machines A Series Windows,A1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_A1,
32,USD,0.0,3.686,3.686,southcentralus,US South Central,2021-11-01T00:00:00Z,0275bf76-da81-5564-aaf2-fa421e60c80a,D64 v5,DZH318Z08M9X,DZH318Z08M9X/00F4,,Virtual Machines Dv5 Series,Standard_D64_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D64_v5,
35,USD,0.0,1.085,1.085,southcentralus,US South Central,2021-11-01T00:00:00Z,02ae71a7-b17c-5c56-9e6b-aacf28c33a9e,D16d v5,DZH318Z08MC2,DZH318Z08MC2/0012,,Virtual Machines Ddv5 Series,Standard_D16d_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D16d_v5,
37,USD,0.0,0.558,0.558,southcentralus,US South Central,2020-06-01T00:00:00Z,02d5174e-b1b7-5840-bca2-f3c4f598ba26,E4-2ds v4,DZH318Z0CSHB,DZH318Z0CSHB/00ZT,,Virtual Machines Edsv4 Series Windows,E4-2ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E4-2ds_v4,
39,USD,0.0,3.987,3.987,southcentralus,US South Central,2021-11-01T00:00:00Z,0325e409-5d93-5ed3-abdc-e7d49dee8c3b,E32-16ads v5,DZH318Z093WX,DZH318Z093WX/008M,,Virtual Machines Eadsv5 Series Windows,E32-16ads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E32-16ads_v5,
43,USD,0.0,2.17,2.17,southcentralus,US South Central,2021-11-01T00:00:00Z,03831f36-3046-55c3-b117-f87f129a36c0,D32ds v5,DZH318Z08MC6,DZH318Z08MC6/0092,,Virtual Machines Ddsv5 Series,Standard_D32ds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D32ds_v5,
49,USD,0.0,6.509,6.509,southcentralus,US South Central,2021-11-01T00:00:00Z,041655f4-58e5-5840-8289-bb5a21407bc1,D96ds v5,DZH318Z08MC6,DZH318Z08MC6/008Z,,Virtual Machines Ddsv5 Series,Standard_D96ds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D96ds_v5,
52,USD,0.0,0.645,0.645,southcentralus,US South Central,2022-01-01T00:00:00Z,044c07c0-85c4-5ffd-9561-d42b877dc8df,DC4s v2,DZH318Z0CCGS,DZH318Z0CCGS/0014,,Virtual Machines DCSv2 Series Windows,DC4s v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_DC4s_v2,
53,USD,0.0,3.987,3.987,southcentralus,US South Central,2021-11-01T00:00:00Z,0464c143-7b89-5883-8f91-e7a4cde0d76a,E32-8ads v5,DZH318Z093WX,DZH318Z093WX/008J,,Virtual Machines Eadsv5 Series Windows,E32-8ads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E32-8ads_v5,
55,USD,0.0,8.474,8.474,southcentralus,US South Central,2021-11-01T00:00:00Z,04684d69-b870-50a8-b16a-bda8a37c680b,E64d v5,DZH318Z08M9Q,DZH318Z08M9Q/0006,,Virtual Machines Edv5 Series Windows,Standard_E64d_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64d_v5,
59,USD,0.0,3.469,3.469,southcentralus,US South Central,2022-09-01T00:00:00Z,048eafa9-d15f-5c5a-a08e-bc04a3683b61,D64pds v5,DZH318Z092SF,DZH318Z092SF/00JC,,Virtual Machines Dpdsv5 Series,Standard_D64pds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D64pds_v5,
61,USD,0.0,10.93,10.93,southcentralus,US South Central,2017-12-01T00:00:00Z,04adfaf0-73c2-4e9e-bbf8-c30c7e39fc95,NC24rs v2,DZH318Z0BQ5T,DZH318Z0BQ5T/001F,,Virtual Machines NCSv2 Series,NC24rs v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC24rs_v2,
64,USD,0.0,3.254,3.254,southcentralus,US South Central,2021-11-01T00:00:00Z,04cf31a5-2291-5d9d-9684-3d4e8495025c,D48d v5,DZH318Z08MC2,DZH318Z08MC2/0017,,Virtual Machines Ddv5 Series,Standard_D48d_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D48d_v5,
65,USD,0.0,0.108,0.108,southcentralus,US South Central,2022-09-01T00:00:00Z,04d89670-63a6-550d-a1da-efdbdabf7bbd,D2pds v5,DZH318Z092SF,DZH318Z092SF/00JT,,Virtual Machines Dpdsv5 Series,Standard_D2pds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D2pds_v5,
66,USD,0.0,6.63,6.63,southcentralus,US South Central,2023-02-01T00:00:00Z,04dcecf7-9873-50a6-947a-dc3b02ee57e6,D64lds v5,DZH318Z08M99,DZH318Z08M99/00DN,,Virtual Machines Dldsv5 Series Windows,D64lds v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D64lds_v5,
73,USD,0.0,10.925,10.925,southcentralus,US South Central,2021-11-01T00:00:00Z,0522254f-53e7-5f82-b8ba-d8b5de29285a,E96-48as v5,DZH318Z093XK,DZH318Z093XK/009X,,Virtual Machines Easv5 Series Windows,E96-48as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E96-48as_v5,
75,USD,0.0,1.924,1.924,southcentralus,US South Central,2016-06-08T00:00:00Z,052b396c-1cad-4cb7-a60d-e6fe13b0f312,H16r,DZH318Z0BQ4J,DZH318Z0BQ4J/004V,,Virtual Machines H Series,H16r,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_H16r,
77,USD,0.0,4.467,4.467,southcentralus,US South Central,2020-06-01T00:00:00Z,056d2aaf-fb26-5cbc-9f21-a9217f92237e,E32d v4,DZH318Z0D1LH,DZH318Z0D1LH/0065,,Virtual Machines Edv4 Series Windows,E32d v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E32d_v4,
79,USD,0.0,1.368,1.368,southcentralus,US South Central,2019-08-01T00:00:00Z,05a81574-ebcb-445a-895f-66e6ee2c1be0,NV12s v3,DZH318Z0C0XF,DZH318Z0C0XF/000W,,Virtual Machines NVSv3 Series,NV12s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NV12s_v3,
81,USD,0.0,0.653,0.653,southcentralus,US South Central,2022-09-01T00:00:00Z,05ce2563-13f5-5bfe-9858-a257afee3c6c,D16pls v5,DZH318Z092S2,DZH318Z092S2/004K,,Virtual Machines Dplsv5 Series,Standard_D16pls_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D16pls_v5,
90,USD,0.0,9.728,9.728,southcentralus,US South Central,2020-10-01T00:00:00Z,06534414-4468-587f-90d8-05b689eec783,E80is v4,DZH318Z0CSHC,DZH318Z0CSHC/02CJ,,Virtual Machines Esv4 Series Windows,E80is v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E80is_v4,
91,USD,0.0,3.684,3.684,southcentralus,US South Central,2022-07-01T00:00:00Z,066e60f3-1d74-5bf5-b086-dcd0bd31aab5,E32pds v5,DZH318Z092SG,DZH318Z092SG/001G,,Virtual Machines Epdsv5 Series Windows,Standard_E32pds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E32pds_v5,
92,USD,0.0,0.243,0.243,southcentralus,US South Central,2018-06-01T00:00:00Z,066fe8b2-e076-4a5e-9b3a-33b4c08e5e53,E2s v3,DZH318Z0BPVN,DZH318Z0BPVN/00FP,,Virtual Machines ESv3 Series Windows,E2s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E2s_v3,
93,USD,0.0,0.243,0.243,southcentralus,US South Central,2018-06-01T00:00:00Z,066fe8b2-e076-4a5e-9b3a-33b4c08e5e53,E2 v3/E2s v3,DZH318Z0BPWH,DZH318Z0BPWH/00H3,,Virtual Machines Ev3 Series Windows,E2 v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E2_v3,
94,USD,0.0,5.61,5.61,southcentralus,US South Central,2021-12-01T00:00:00Z,06747300-c221-51ec-960f-a2d209044f28,Fsv2 Type4,DZH318Z0C621,DZH318Z0C621/00PD,,FSv2 Series Dedicated Host,Fsv2 Type4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Fsv2_Type4,
95,USD,0.0,0.91,0.91,southcentralus,US South Central,2021-11-01T00:00:00Z,067a6141-2d29-56ac-b214-615c02cd9dc9,E8-4as v5,DZH318Z093XK,DZH318Z093XK/00BS,,Virtual Machines Easv5 Series Windows,E8-4as v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8-4as_v5,
98,USD,0.0,7.974,7.974,southcentralus,US South Central,2021-11-01T00:00:00Z,067cc733-5054-5741-9ea9-8ff5fe873b01,E64-32ads v5,DZH318Z093WX,DZH318Z093WX/0080,,Virtual Machines Eadsv5 Series Windows,E64-32ads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64-32ads_v5,
100,USD,0.0,1.872,1.872,southcentralus,US South Central,2020-06-01T00:00:00Z,06c6263b-b366-51b2-abe7-942f91fd52f8,E20ds v4,DZH318Z0CSHK,DZH318Z0CSHK/00ZZ,,Virtual Machines Edsv4 Series,E20ds v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E20ds_v4,
103,USD,0.0,0.835,0.835,southcentralus,US South Central,2022-06-01T00:00:00Z,07227de2-ec6a-5efe-897d-ea99ebb0b0fd,L8s v3,DZH318Z08NR7,DZH318Z08NR7/0072,,Virtual Machines Lsv3 Series,Standard_L8s_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_L8s_v3,
112,USD,0.0,0.426,0.426,southcentralus,US South Central,2022-07-01T00:00:00Z,079cbf75-5aa7-5c9b-8f73-a20f99b39ac9,E4ps v5,DZH318Z092S8,DZH318Z092S8/00PW,,Virtual Machines Epsv5 Series Windows,Standard_E4ps_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E4ps_v5,
115,USD,0.0,0.829,0.829,southcentralus,US South Central,2020-06-01T00:00:00Z,08283155-c833-5579-931e-ecca9b7ea2ec,D8a v4/D8as v4,DZH318Z0CM94,DZH318Z0CM94/0079,,Virtual Machines Dav4 Series Windows,D8a v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D8a_v4,
116,USD,0.0,0.829,0.829,southcentralus,US South Central,2020-06-01T00:00:00Z,08283155-c833-5579-931e-ecca9b7ea2ec,D8as v4,DZH318Z0CM93,DZH318Z0CM93/007H,,Virtual Machines Dasv4 Series Windows,D8as v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_D8as_v4,
119,USD,0.0,7.68,7.68,southcentralus,US South Central,2019-08-01T00:00:00Z,0881017d-dc91-4187-9725-06d282c47e2b,NV48s v3,DZH318Z0C0XC,DZH318Z0C0XC/000M,,Virtual Machines NVSv3 Series Windows,NV48s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NV48s_v3,
126,USD,0.0,9.76,9.76,southcentralus,US South Central,2022-02-01T00:00:00Z,090a5a3c-3ac9-50ac-9a0d-647553cb5c4f,NP40s,DZH318Z0CHL7,DZH318Z0CHL7/0038,,Virtual Machines NP Series Windows,NP40s,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NP40s,
129,USD,0.0,0.401,0.401,southcentralus,US South Central,2022-04-01T00:00:00Z,093daef4-af36-5bbe-a314-580f13492f88,E4bds v5,DZH318Z09LQP,DZH318Z09LQP/003D,,Virtual Machines Ebdsv5 Series,Standard_E4bds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E4bds_v5,
130,USD,0.0,0.461,0.461,southcentralus,US South Central,2023-02-01T00:00:00Z,093edbd9-c30a-5f06-b2ae-460c76a4b8fc,D8lds v5,DZH318Z08M9B,DZH318Z08M9B/00NQ,,Virtual Machines Dldsv5 Series,D8lds v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D8lds_v5,
131,USD,0.0,9.442,9.442,southcentralus,US South Central,2019-01-01T00:00:00Z,0945cf8f-7477-4e98-9205-2ef46a9a15d7,M64ls,DZH318Z0BPW5,DZH318Z0BPW5/00KW,,Virtual Machines MS Series Windows,M64ls,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_M64ls,
133,USD,0.0,4.968,4.968,southcentralus,US South Central,2017-12-01T00:00:00Z,094dad09-c966-4e6c-8002-6f1190055d93,NC12s v2,DZH318Z0BQ5T,DZH318Z0BQ5T/002F,,Virtual Machines NCSv2 Series,NC12s v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC12s_v2,
138,USD,0.0,0.243,0.243,southcentralus,US South Central,2020-08-01T00:00:00Z,09882bf3-7eac-50b7-85b8-9e60145cf020,E2 v4,DZH318Z0D1L3,DZH318Z0D1L3/0075,,Virtual Machines Ev4 Series Windows,E2 v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E2_v4,
144,USD,0.0,2.448,2.448,southcentralus,US South Central,2019-06-01T00:00:00Z,0a21b273-1808-4f01-a1bf-78be8bdd12ed,F48s v2,DZH318Z0BQ4X,DZH318Z0BQ4X/018L,,Virtual Machines FSv2 Series,F48s v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_F48s_v2,
145,USD,0.0,1.172,1.172,southcentralus,US South Central,2016-06-08T00:00:00Z,0a29368a-01ba-48d8-b033-7f40b551d443,H8m,DZH318Z0BQ4J,DZH318Z0BQ4J/007W,,Virtual Machines H Series,H8m,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_H8m,
146,USD,0.0,1.69,1.69,southcentralus,US South Central,2017-07-21T00:00:00Z,0a35e56a-d6a6-4ea0-be3d-39c207b82dff,D16 v3/D16s v3,DZH318Z0BPVL,DZH318Z0BPVL/004T,,Virtual Machines Dv3 Series Windows,D16 v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D16_v3,
147,USD,0.0,1.69,1.69,southcentralus,US South Central,2017-07-21T00:00:00Z,0a35e56a-d6a6-4ea0-be3d-39c207b82dff,D16s v3,DZH318Z0BPWD,DZH318Z0BPWD/007Q,,Virtual Machines DSv3 Series Windows,D16s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_D16s_v3,
152,USD,0.0,2.864,2.864,southcentralus,US South Central,2019-01-01T00:00:00Z,0ab40586-2bd6-4d78-b08e-a15b6ae98fae,M16s,DZH318Z0BQ4W,DZH318Z0BQ4W/02C2,,Virtual Machines MS Series,M16s,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_M16s,
156,USD,0.0,4.838,4.838,southcentralus,US South Central,2021-11-01T00:00:00Z,0b144024-e631-5e79-af61-80aa8ff60fa5,E64 v5,DZH318Z08M9J,DZH318Z08M9J/006L,,Virtual Machines Ev5 Series,Standard_E64_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64_v5,
157,USD,0.0,0.326,0.326,southcentralus,US South Central,2022-09-01T00:00:00Z,0b191615-d7ad-585a-852d-4bee71a69e87,D8pls v5,DZH318Z092S2,DZH318Z092S2/0047,,Virtual Machines Dplsv5 Series,Standard_D8pls_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D8pls_v5,
159,USD,0.0,1.994,1.994,southcentralus,US South Central,2021-11-01T00:00:00Z,0b4b1aa1-56be-5151-9134-876213c8103b,E16-8ads v5,DZH318Z093WX,DZH318Z093WX/0083,,Virtual Machines Eadsv5 Series Windows,E16-8ads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E16-8ads_v5,
160,USD,0.0,5.462,5.462,southcentralus,US South Central,2021-11-01T00:00:00Z,0b7178ec-7a6b-5854-9bff-e1d20bb8db12,D48d v5,DZH318Z08M9F,DZH318Z08M9F/009P,,Virtual Machines Ddv5 Series Windows,Standard_D48d_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D48d_v5,
165,USD,0.0,2.992,2.992,southcentralus,US South Central,2017-12-01T00:00:00Z,0b91f6a2-1ced-454f-b2cd-80b17f59bf76,ND6s,DZH318Z0BPX4,DZH318Z0BPX4/0015,,Virtual Machines NDS Series Windows,ND6s,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_ND6s,
170,USD,0.0,7.782,7.782,southcentralus,US South Central,2020-11-01T00:00:00Z,0bc293ce-0c34-5f1a-baeb-ad05b9c36f3f,E64-32as_v4,DZH318Z0CM92,DZH318Z0CM92/00T0,,Virtual Machines Easv4 Series Windows,E64-32as_v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64-32as_v4,
173,USD,0.0,2.602,2.602,southcentralus,US South Central,2017-02-01T00:00:00Z,0c10119f-55be-430b-b189-a37492b2b0fa,NC12,DZH318Z0BQP2,DZH318Z0BQP2/0031,,Virtual Machines NC Series Windows,NC12,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC12,
175,USD,0.0,4.81,4.81,southcentralus,US South Central,2022-07-01T00:00:00Z,0c68f2a5-91f0-5532-85a3-738339d9bb7d,D48pds v5,DZH318Z092SC,DZH318Z092SC/00NV,,Virtual Machines Dpdsv5 Series Windows,Standard_D48pds_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D48pds_v5,
177,USD,0.0,8.166,8.166,southcentralus,US South Central,2020-11-01T00:00:00Z,0c7cf976-e142-50b2-907a-240348bfeb01,NC64asT4 v3,DZH318Z0DF4B,DZH318Z0DF4B/0012,,Virtual Machines NCasT4 v3 Series Windows,NC64asT4 v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NC64as_T4_v3,
180,USD,0.0,1.946,1.946,southcentralus,US South Central,2020-08-01T00:00:00Z,0c8b93c0-2707-53b1-9229-64f99ece236f,E16s v4,DZH318Z0CSHC,DZH318Z0CSHC/00ZP,,Virtual Machines Esv4 Series Windows,E16s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E16s_v4,
182,USD,0.0,7.375,7.375,southcentralus,US South Central,2021-01-01T00:00:00Z,0cad2214-3240-5507-b8e6-7ffa78cb6f93,M32dms_v2,DZH318Z08LV1,DZH318Z08LV1/005G,,Virtual Machines MdSv2 Series,M32dms_v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_M32dms_v2,
186,USD,0.0,1.387,1.387,southcentralus,US South Central,2015-10-01T00:00:00Z,0ce1a04a-27bd-45f8-9def-affe0231b7ee,D14/DS14,DZH318Z0BQ4B,DZH318Z0BQ4B/008L,,Virtual Machines D Series,D14,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D14,
187,USD,0.0,1.387,1.387,southcentralus,US South Central,2015-10-01T00:00:00Z,0ce1a04a-27bd-45f8-9def-affe0231b7ee,DS14,DZH318Z0BQ4S,DZH318Z0BQ4S/0089,,Virtual Machines DS Series,DS14,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_DS14,
190,USD,0.0,1.21,1.21,southcentralus,US South Central,2020-08-01T00:00:00Z,0d0bb5b6-9059-518a-8f2b-a543f22bf084,E16-4s v4,DZH318Z0CSHL,DZH318Z0CSHL/00X9,,Virtual Machines Esv4 Series,E16-4s v4,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E16-4s_v4,
191,USD,0.0,0.972,0.972,southcentralus,US South Central,2018-06-01T00:00:00Z,0d239466-777a-4271-b703-5f9ae34743aa,E8s v3,DZH318Z0BPVN,DZH318Z0BPVN/009H,,Virtual Machines ESv3 Series Windows,E8s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E8s_v3,
192,USD,0.0,0.972,0.972,southcentralus,US South Central,2018-06-01T00:00:00Z,0d239466-777a-4271-b703-5f9ae34743aa,E8-2s v3,DZH318Z0BPVN,DZH318Z0BPVN/01DM,,Virtual Machines ESv3 Series Windows,E8-2s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E8-2s_v3,
193,USD,0.0,0.972,0.972,southcentralus,US South Central,2018-06-01T00:00:00Z,0d239466-777a-4271-b703-5f9ae34743aa,E8-4s v3,DZH318Z0BPVN,DZH318Z0BPVN/01DB,,Virtual Machines ESv3 Series Windows,E8-4s v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E8-4s_v3,
194,USD,0.0,0.972,0.972,southcentralus,US South Central,2018-06-01T00:00:00Z,0d239466-777a-4271-b703-5f9ae34743aa,E8 v3/E8s v3,DZH318Z0BPWH,DZH318Z0BPWH/00CG,,Virtual Machines Ev3 Series Windows,E8 v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E8_v3,
196,USD,0.0,1.017,1.017,southcentralus,US South Central,2018-09-01T00:00:00Z,0d5640c8-f445-41fe-877d-27cf28488705,DS5 v2 - Expired,DZH318Z0BPSQ,DZH318Z0BPSQ/002G,,Virtual Machines DSv2 promo Series,DS5 v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_DS5_v2_Promo,
197,USD,0.0,1.017,1.017,southcentralus,US South Central,2018-09-01T00:00:00Z,0d5640c8-f445-41fe-877d-27cf28488705,D5 v2/DS5 v2 - Expired,DZH318Z0BPSP,DZH318Z0BPSP/00DZ,,Virtual Machines Dv2 promo Series,D5 v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D5_v2_Promo,
202,USD,0.0,0.13,0.13,southcentralus,US South Central,2015-10-01T00:00:00Z,0d9ace5a-ca46-4ea2-8c16-404ab1764e8a,DS1,DZH318Z0BPW4,DZH318Z0BPW4/0059,,Virtual Machines DS Series Windows,DS1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_DS1,
203,USD,0.0,0.13,0.13,southcentralus,US South Central,2015-10-01T00:00:00Z,0d9ace5a-ca46-4ea2-8c16-404ab1764e8a,D1/DS1,DZH318Z0BPVW,DZH318Z0BPVW/007N,,Virtual Machines D Series Windows,D1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D1,
204,USD,0.0,6.357,6.357,southcentralus,US South Central,2022-01-01T00:00:00Z,0da338c5-5516-5bc2-92ed-783d03a22c15,Dasv5 Type1,DZH318Z08W0S,DZH318Z08W0S/0007,,Dasv5 Series Dedicated Host,Dasv5 Type1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Dasv5_Type1,
205,USD,0.0,7.782,7.782,southcentralus,US South Central,2021-11-01T00:00:00Z,0dd70bb8-b3b3-516f-90d8-ed87423b1636,E64-32s v5,DZH318Z096T1,DZH318Z096T1/042V,,Virtual Machines Esv5 Series Windows,E64-32s v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E64-32s_v5,
206,USD,0.0,7.782,7.782,southcentralus,US South Central,2021-11-01T00:00:00Z,0dd70bb8-b3b3-516f-90d8-ed87423b1636,E64s v5,DZH318Z096T1,DZH318Z096T1/042M,,Virtual Machines Esv5 Series Windows,E64s v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E64s_v5,
207,USD,0.0,7.782,7.782,southcentralus,US South Central,2021-11-01T00:00:00Z,0dd70bb8-b3b3-516f-90d8-ed87423b1636,E64-16s v5,DZH318Z096T1,DZH318Z096T1/0436,,Virtual Machines Esv5 Series Windows,E64-16s v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,False,Standard_E64-16s_v5,
